P1,P2,P3,Function,P4,Digits
01 (RADIO SETTING),03 (MODE FM),17,RPT SHIFT(28MHz),"0 ~ 1000 kHz (P4 = 0000 ~ 1000, 10 kHz/step)",4
01 (RADIO SETTING),03 (MODE FM),18,RPT SHIFT(50MHz),"0 ~ 4000 kHz (P4 = 0000 ~ 4000, 10 kHz/step)",4
01 (RADIO SETTING),03 (MODE FM),19,RPT,0: - 1: SIMPLEX 2: +,1
01 (RADIO SETTING),03 (MODE FM),20,TONE FREQ,00: 67.0 ~ 49: 254.1Hz,2
01 (RADIO SETTING),03 (MODE FM),21,ENC/DEC,0: OFF 1: ENC 2: TSQ,1
01 (RADIO SETTING),04 (MODE PSK/DATA),01,AF TREBLE GAIN,-10 ~ +00 ~ +10,3
01 (RADIO SETTING),04 (MODE PSK/DATA),02,AF MIDDLE TONE GAIN,-10 ~ +00 ~ +10,3
01 (RADIO SETTING),04 (MODE PSK/DATA),03,AF BASS GAIN,-10 ~ +00 ~ +10,3
01 (RADIO SETTING),04 (MODE PSK/DATA),04,AGC FAST DELAY,"20 ~ 4000 msec (P4= 0020 ~ 4000, 20 msec/step)",4
01 (RADIO SETTING),04 (MODE PSK/DATA),05,AGC MID DELAY,"20 ~ 4000 msec (P4= 0020 ~ 4000, 20 msec/step)",4
01 (RADIO SETTING),04 (MODE PSK/DATA),06,AGC SLOW DELAY,"20 ~ 4000 msec (P4= 0020 ~ 4000, 20 msec/step)",4
01 (RADIO SETTING),04 (MODE PSK/DATA),07,PSK TONE,0: 1000Hz 1: 1500Hz 2: 2000Hz,1
01 (RADIO SETTING),04 (MODE PSK/DATA),08,DATA SHIFT (SSB),"0 ~ 3000 Hz (P4 = 0000 ~ 3000, 10 Hz steps)",4
01 (RADIO SETTING),04 (MODE PSK/DATA),09,LCUT FREQ,00: OFF 01: 100 Hz ~ 19: 1000 Hz (50 Hz steps),2
01 (RADIO SETTING),04 (MODE PSK/DATA),10,LCUT SLOP,0: 6 dB/oct 1: 18 dB/oct,1
01 (RADIO SETTING),04 (MODE PSK/DATA),11,HCUT FREQ,00: OFF 01: 700 Hz ~ 67: 4000 Hz (50 Hz steps),2
01 (RADIO SETTING),04 (MODE PSK/DATA),12,HCUT SLOPE,0: 6 dB/oct 1: 18 dB/oct,1
01 (RADIO SETTING),04 (MODE PSK/DATA),13,DATA OUT LEVEL,0 ~ 100 (P4 = 000 ~ 100),3
01 (RADIO SETTING),04 (MODE PSK/DATA),14,TX BPF SEL,0: 50 ~ 3050 1: 100 ~ 2900 2: 200 ~ 2800 3: 300 ~ 2700 4: 400 ~ 2600,1
01 (RADIO SETTING),04 (MODE PSK/DATA),15,DATA MOD SOURCE,0: MIC 1: REAR,1
01 (RADIO SETTING),04 (MODE PSK/DATA),16,REAR SELECT,0: DATA 1: USB,1
01 (RADIO SETTING),04 (MODE PSK/DATA),17,RPORT GAIN,0 ~ 100 (P4 = 000 ~ 100),3
01 (RADIO SETTING),04 (MODE PSK/DATA),18,RPTT SELECT,0: DAKY 1: RTS 2: DTR,1
01 (RADIO SETTING),05 (MODE RTTY),01,AF TREBLE GAIN,-10 ~ +00 ~ +10,3
01 (RADIO SETTING),05 (MODE RTTY),02,AF MIDDLE TONE GAIN,-10 ~ +00 ~ +10,3
01 (RADIO SETTING),05 (MODE RTTY),03,AF BASS GAIN,-10 ~ +00 ~ +10,3
01 (RADIO SETTING),05 (MODE RTTY),04,AGC FAST DELAY,"20 ~ 4000 msec (P4= 0020 ~ 4000, 20 msec/step)",4
01 (RADIO SETTING),05 (MODE RTTY),05,AGC MID DELAY,"20 ~ 4000 msec (P4= 0020 ~ 4000, 20 msec/step)",4
01 (RADIO SETTING),05 (MODE RTTY),06,AGC SLOW DELAY,"20 ~ 4000 msec (P4= 0020 ~ 4000, 20 msec/step)",4
01 (RADIO SETTING),05 (MODE RTTY),07,POLARITY-RX,0: NOR 1: REV,1
01 (RADIO SETTING),05 (MODE RTTY),08,POLARITY-TX,0: NOR 1: REV,1
01 (RADIO SETTING),05 (MODE RTTY),09,LCUT FREQ,00: OFF 01: 100 Hz ~ 19: 1000 Hz (50 Hz steps),2
01 (RADIO SETTING),05 (MODE RTTY),10,LCUT SLOP,0: 6 dB/oct 1: 18 dB/oct,1
01 (RADIO SETTING),05 (MODE RTTY),11,HCUT FREQ,00: OFF 01: 700 Hz ~ 67: 4000 Hz (50 Hz steps),2
01 (RADIO SETTING),05 (MODE RTTY),12,HCUT SLOPE,0: 6 dB/oct 1: 18 dB/oct,1
01 (RADIO SETTING),05 (MODE RTTY),13,RTTY OUT LEVEL,0 ~ 100 (P4 = 000 ~ 100),3
01 (RADIO SETTING),05 (MODE RTTY),14,SHIFT PORT,0: SHIFT 1: DTR 2: RTS,1
01 (RADIO SETTING),05 (MODE RTTY),15,MARK FREQUENCY,1: 1275 Hz 2: 2125 Hz,1
01 (RADIO SETTING),05 (MODE RTTY),16,SHIFT FREQUENCY,1: 170 Hz 1: 200 Hz 2: 425 Hz 3: 850 Hz,1
01 (RADIO SETTING),06 (ENC/DEC PSK),01,PSK MODE,0: BPSK 1: QPSK,1
01 (RADIO SETTING),06 (ENC/DEC PSK),02,DECODE AFC RANGE,0: 8 1: 1.5 2: 30 Hz,1
01 (RADIO SETTING),06 (ENC/DEC PSK),03,QPSK POLARITY RX,0: NOR 1: REV,1
01 (RADIO SETTING),06 (ENC/DEC PSK),04,QPSK POLARITY TX,0: NOR 1: REV,1
01 (RADIO SETTING),06 (ENC/DEC PSK),05,PSK TX LEVEL,0 ~ 100,3
01 (RADIO SETTING),07 (ENC/DEC RTTY),01,RX USOS,0: DISABLE 1: ENABLE,1
01 (RADIO SETTING),07 (ENC/DEC RTTY),02,TX USOS,0: DISABLE 1: ENABLE,1
01 (RADIO SETTING),07 (ENC/DEC RTTY),03,RX NEW LINE CODE,"0: CR or LF or CR+LF 1: CR,LF,CR+LF",1
01 (RADIO SETTING),07 (ENC/DEC RTTY),04,TX AUTO CR+LF,0: DISABLE 1: ENABLE,1
01 (RADIO SETTING),07 (ENC/DEC RTTY),05,TX DIDDLE,0: OFF 1: BLANK 2: LTRS,1
01 (RADIO SETTING),07 (ENC/DEC RTTY),06,BAUDOT CODE,0: CCIT 1: US,1
02 (CW SETTING),01 (MODE CW),01,AF TREBLE GAIN,-10 ~ +00 ~ +10,3
02 (CW SETTING),01 (MODE CW),02,AF MIDDLE TONE GAIN,-10 ~ +00 ~ +10,3
02 (CW SETTING),01 (MODE CW),03,AF BASS GAIN,-10 ~ +00 ~ +10,3
02 (CW SETTING),01 (MODE CW),04,AGC FAST DELAY,"20 ~ 4000 msec (P4= 0020 ~ 4000, 20 msec/step)",4
02 (CW SETTING),01 (MODE CW),05,AGC MID DELAY,"20 ~ 4000 msec (P4= 0020 ~ 4000, 20 msec/step)",4
02 (CW SETTING),01 (MODE CW),06,AGC SLOW DELAY,"20 ~ 4000 msec (P4= 0020 ~ 4000, 20 msec/step)",4
02 (CW SETTING),01 (MODE CW),07,LCUT FREQ,00: OFF 01: 100 Hz ~ 19: 1000 Hz (50 Hz steps),2
02 (CW SETTING),01 (MODE CW),08,LCUT SLOP,0: 6 dB/oct 1: 18 dB/oct,1
02 (CW SETTING),01 (MODE CW),09,HCUT FREQ,00: OFF 01: 700 Hz ~ 67: 4000 Hz (50 Hz steps),2
02 (CW SETTING),01 (MODE CW),10,HCUT SLOPE,0: 6 dB/oct 1: 18 dB/oct,1
02 (CW SETTING),01 (MODE CW),11,CW OUT LEVEL,0 ~ 100 (P4 = 000 ~ 100),3
02 (CW SETTING),01 (MODE CW),12,CW AUTO MODE,0: OFF 1: 50 MHz 2: ON,1
02 (CW SETTING),01 (MODE CW),13,CW BK-IN TYPE,0: SEMI 1: FULL,1
02 (CW SETTING),01 (MODE CW),14,CW WAVE SHAPE,0: 1 msec 1: 2 msec 2: 4 msec 3: 6 msec,1
02 (CW SETTING),01 (MODE CW),15,CW FREQ DISPLAY,0: DIRECT FREQ 1: PITCH OFFSET,1
02 (CW SETTING),01 (MODE CW),16,PC KEYING,0: OFF 1: DAKY 2: RTS 3: DTR,1
02 (CW SETTING),01 (MODE CW),17,QSK DELAY TIME,0: 15 msec 1: 20 msec 2: 25 mesc 3: 30 msec,1
02 (CW SETTING),01 (MODE CW),18,CW INDICATOR,0: OFF 1: ON,1
02 (CW SETTING),02 (KEYER),01,KEYER TYPE,0: OFF 1: BUG 2: ELEKEY-A 3: ELEKEY-B 4: ELEKEY-Y 5: ACS,1
02 (CW SETTING),02 (KEYER),02,KEYER DOT/DASH,0: NOR 1: REV,1
02 (CW SETTING),02 (KEYER),03,CW WEIGHT,2.5 ~ 4.5 (P4 = 25 ~ 45),2
02 (CW SETTING),02 (KEYER),04,NUMBER STYLE,0: 1290 1: AUNO 2: AUNT 3: A2NO 4: A2NT 5: 12NO 6: 12NT,1
02 (CW SETTING),02 (KEYER),05,CONTEST NUMBER,0001 ~ 9999,4
02 (CW SETTING),02 (KEYER),06,CW MEMORY 1,0: TEXT 1: MESSAGE,1
02 (CW SETTING),02 (KEYER),07,CW MEMORY 2,0: TEXT 1: MESSAGE,1
02 (CW SETTING),02 (KEYER),08,CW MEMORY 3,0: TEXT 1: MESSAGE,1
02 (CW SETTING),02 (KEYER),09,CW MEMORY 4,0: TEXT 1: MESSAGE,1
02 (CW SETTING),02 (KEYER),10,CW MEMORY 5,0: TEXT 1: MESSAGE,1
02 (CW SETTING),02 (KEYER),11,REPEAT INTERVAL,1 ~ 60 sec (P4 = 01 ~ 60),2
02 (CW SETTING),03 (DECODE CW),01,CW DECODE BW,0: 25 1: 50 2: 100 3: 250 (Hz),1
03 (OPERATION SETTING),01 (GENERAL),01,NB WIDTH,0: 1 ms 1: 3 ms 2: 10 ms,1
03 (OPERATION SETTING),01 (GENERAL),02,NB REJECTION,0: 10 dB 1: 30 dB 2: 50 dB,1
03 (OPERATION SETTING),01 (GENERAL),03,BEEP LEVEL,0 ~ 100 (P4 = 000 ~ 100),3
03 (OPERATION SETTING),01 (GENERAL),04,RF/SQL VR,0: RF 1: SQL,1
03 (OPERATION SETTING),01 (GENERAL),05,TUNER SELECT,0: INT 1: EXT1 2: EXT2 3: EXT3,1
03 (OPERATION SETTING),01 (GENERAL),06,232C RATE,0: 4800 bps 1: 9600 bps 2: 19200 bps 3: 38400 bps,1
03 (OPERATION SETTING),01 (GENERAL),07,232C TIME OUT TIMER,0: 10 msec 1: 100 msec 2: 1000 msec 3: 3000 msec,1
03 (OPERATION SETTING),01 (GENERAL),08,CAT RATE,0: 4800 bps 1: 9600 bps 2: 19200 bps 3: 38400 bps,1
03 (OPERATION SETTING),01 (GENERAL),09,CAT TIME OUT TIMER,0: 10 msec 1: 100 msec 2: 1000 msec 3: 3000 msec,1
03 (OPERATION SETTING),01 (GENERAL),10,CAT RTS,0: DISABLE 1: ENABLE,1
03 (OPERATION SETTING),01 (GENERAL),11,QMB CH,0: 5ch 1: 10ch,1
03 (OPERATION SETTING),01 (GENERAL),12,MEM GROUP,0: DISABLE 1: ENABLE,1
03 (OPERATION SETTING),01 (GENERAL),13,QUICK SPLIT INPUT,0: DISABLE 1: ENABLE,1
03 (OPERATION SETTING),01 (GENERAL),14,QUICK SPLIT FREQ,-20 kHz ~ +00 (or -00) ~ +20 kHz (P4= -20 ~ +00 or -00 ~ +20),3
03 (OPERATION SETTING),01 (GENERAL),15,SPLIT FREQ DISPLAY,0: FREQ 1: DELTA,1
03 (OPERATION SETTING),01 (GENERAL),16,TX TIME OUT TIMER,0 (OFF) ~ 30 min (P4= 00 ~ 30),2
03 (OPERATION SETTING),01 (GENERAL),17,MIC SCAN,0: DISABLE 1: ENABLE,1
03 (OPERATION SETTING),01 (GENERAL),18,MIC SCAN RESUME,0: PAUSE 1: TIME,1
03 (OPERATION SETTING),01 (GENERAL),19,REF FREQ ADJ,-25 ~ +00 (or -00) ~ +25 (P4= -25 ~ +00 or -00 ~ +25),3
03 (OPERATION SETTING),01 (GENERAL),20,KEYBOARD LANGUAGE,00: JAPANESE 01: ENGLISH(US) 02: ENGLISH(UK) 03: FRENCH 04: FRENCH(CA) 05: GERMAN 06: PORTUGUESE 07: PORTUGUESE(BR) 08: SPANISH 09: SPANISH(LATAM) 10: ITALIAN 11: LEVEL,2
03 (OPERATION SETTING),02 (RX-DSP),01,APF WIDTH,0: NARROW 1: MEDIUM 2: WIDE,1
03 (OPERATION SETTING),02 (RX-DSP),02,CONTOUR LEVEL,-40 ~ 0 ~ +20 (P4 = -40 ~ -00 or +00 ~ +20),3
03 (OPERATION SETTING),02 (RX-DSP),03,CONTOUR WIDTH,01 ~ 11,2
03 (OPERATION SETTING),02 (RX-DSP),04,IF NOTCH WIDTH,0: NARROW 1: WIDE,1
03 (OPERATION SETTING),03 (TX AUDIO),01,AMC RELEASE TIME,0: FAST 1: MID 2: SLOW,1
03 (OPERATION SETTING),03 (TX AUDIO),02,PRMTRC EQ1 FREQ,00 : OFF 01: 100 02: 200 03: 300 04: 400 05: 500 06: 600 07: 700 Hz,2
03 (OPERATION SETTING),03 (TX AUDIO),03,PRMTRC EQ1 LEVEL,-20 ~ 0 ~ +10 (P4 = -20 ~ -00 or +00 ~ +10),3
03 (OPERATION SETTING),03 (TX AUDIO),04,PRMTRC EQ1 BWTH,01 ~ 10,2
03 (OPERATION SETTING),03 (TX AUDIO),05,PRMTRC EQ2 FREQ,00: OFF 01: 700 02: 800 03: 900 04: 1000 05: 1100 06: 1200 07: 1300 08: 1400 09: 1500 Hz,2
03 (OPERATION SETTING),03 (TX AUDIO),06,PRMTRC EQ2 LEVEL,-20 ~ 0 ~ +10 (P4 = -20 ~ -00 or +00 ~ +10),3
03 (OPERATION SETTING),03 (TX AUDIO),07,PRMTRC EQ2 BWTH,01 ~ 10,2
03 (OPERATION SETTING),03 (TX AUDIO),08,PRMTRC EQ3 FREQ,00 : OFF 01: 1500 02: 1600 03: 1700 04: 1800 05: 1900 06: 2000 ~ 18: 3200 Hz,2
03 (OPERATION SETTING),03 (TX AUDIO),09,PRMTRC EQ3 LEVEL,-20 ~ 0 ~ +10 (P4 = -20 ~ -00 or +00 ~ +10),3
03 (OPERATION SETTING),03 (TX AUDIO),10,PRMTRC EQ3 BWTH,01 ~ 10,2
03 (OPERATION SETTING),03 (TX AUDIO),11,P PRMTRC EQ1 FREQ,00 : OFF 01: 100 02: 200 03: 300 04: 400 05: 500 06: 600 07: 700 Hz,2
03 (OPERATION SETTING),03 (TX AUDIO),12,P PRMTRC EQ1 LEVEL,-20 ~ 0 ~ +10 (P4 = -20 ~ -00 or +00 ~ +10),3
03 (OPERATION SETTING),03 (TX AUDIO),13,P PRMTRC EQ1 BWTH,01 ~ 10,2
03 (OPERATION SETTING),03 (TX AUDIO),14,P PRMTRC EQ2 FREQ,00: OFF 01: 700 02: 800 03: 900 04: 1000 05: 1100 06: 1200 07: 1300 08: 1400 09: 1500 Hz,2
03 (OPERATION SETTING),03 (TX AUDIO),15,P PRMTRC EQ2 LEVEL,-20 ~ 0 ~ +10 (P4 = -20 ~ -00 or +00 ~ +10),3
03 (OPERATION SETTING),03 (TX AUDIO),16,P PRMTRC EQ2 BWTH,01 ~ 10,2
03 (OPERATION SETTING),03 (TX AUDIO),17,P PRMTRC EQ3 FREQ,00 : OFF 01: 1500 02: 1600 03: 1700 04: 1800 05: 1900 06: 2000 ~ 18: 3200 Hz,2
03 (OPERATION SETTING),03 (TX AUDIO),18,P PRMTRC EQ3 LEVEL,-20 ~ 0 ~ +10 (P4 = -20 ~ -00 or +00 ~ +10),3
03 (OPERATION SETTING),03 (TX AUDIO),19,P PRMTRC EQ3 BWTH,01 ~ 10,2
03 (OPERATION SETTING),04 (TX GENERAL),01,HF MAX POWER,5 ~ 100 (P4 = 005 ~ 100),3
03 (OPERATION SETTING),04 (TX GENERAL),02,50M MAX POWER,5 ~ 100 (P4 = 005 ~ 100),3
03 (OPERATION SETTING),04 (TX GENERAL),03,70M MAX POWER,5 ~ 50 (P4 = 005 ~ 050),3
03 (OPERATION SETTING),04 (TX GENERAL),04,AM MAX POWER,5 ~ 25 (P4 = 005 ~ 025),3
03 (OPERATION SETTING),04 (TX GENERAL),05,VOX SELECT,0: MIC 1: DATA,1
03 (OPERATION SETTING),04 (TX GENERAL),06,DATA VOX GAIN,0 ~ 100 (P4 = 000 ~ 100),3
03 (OPERATION SETTING),04 (TX GENERAL),07,EMERGENCY FREQ TX,0: DISABLE 1: ENABLE,1
03 (OPERATION SETTING),05 (TUNING),01,SSB/CW DIAL STEP,0: 5 1: 10 (Hz),1
03 (OPERATION SETTING),05 (TUNING),02,RTTY/PSK DIAL STEP,0: 5 1: 10 (Hz),1
03 (OPERATION SETTING),05 (TUNING),03,CH STEP,0: 1 1: 2.5 2: 5 3: 10 (kHz),1
03 (OPERATION SETTING),05 (TUNING),04,AM CH STEP,0: 2.5 1: 5 2: 9 3: 10 4: 12.5 5: 25 (kHz),1
03 (OPERATION SETTING),05 (TUNING),05,FM CH STEP,0: 5 1: 6.25 2: 10 3: 12.5 4: 20 5: 25 (kHz),1
03 (OPERATION SETTING),05 (TUNING),06,MAIN STEPS PER REV.,0: 250 1: 500 2: 1000,1
03 (OPERATION SETTING),05 (TUNING),07,MPVD STEPS PER REV.,0: 50 1: 250 2: 500,1
04 (DISPLAY SETTING),01 (DISPLAY),01,MY CALL.,Up to 12 characters,12
04 (DISPLAY SETTING),01 (DISPLAY),02,MY CALL TIME,0: OFF 1: 0.5 2: 1 3: 2 4: 3 5: 5 (sec),1
04 (DISPLAY SETTING),01 (DISPLAY),03,SCREEN SAVER,0: OFF 1: 15 2: 30 3: 60 (min),1
04 (DISPLAY SETTING),01 (DISPLAY),04,DIMMER LED,00 ~ 20,2
04 (DISPLAY SETTING),01 (DISPLAY),05,MOUSE POINTER SPEED,00 ~ 20,2
04 (DISPLAY SETTING),02 (SCOPE),01,RBW,0: HIGH 1: MID 2: LOW,1
04 (DISPLAY SETTING),02 (SCOPE),02,SCOPE CTR,0: FILTER 1: CAR POINT,1
04 (DISPLAY SETTING),02 (SCOPE),03,2D DISP SENSITIVITY,0: NORMAL 1: HI,1
04 (DISPLAY SETTING),02 (SCOPE),04,3DSS DISP SENSITIVITY,0: NORMAL 1: HI,1
04 (DISPLAY SETTING),03 (EXT-MONITOR),01,EXT DISPLAY,0: DISABLE 1: ENABLE,1
04 (DISPLAY SETTING),03 (EXT-MONITOR),02,PIXEL,0: 800x480 1: 800x600,1
