vector_name,first_byte,first_nibble,last_byte,last_nibble,bytes_hex,field_index,status,pdf_page,visual_anchor,notes
set-record-name-with-space,15,-,15,-,01,⑨,manual_derived,16,"Page-16 section ""Operating mode / Command: 01, 04, 06"": the table column headed ""①Operating mode"", the row printed ""01=USB"".","USB chosen from the printed operating-mode enumeration; 01=USB is printed."
set-record-name-with-space,16,-,16,-,01,⑩,manual_derived,16,"Page-16 section ""Operating mode / Command: 01, 04, 06"": the table column headed ""②Filter"", the row printed ""01=FIL1"".","FIL1 chosen from the printed filter enumeration; 01=FIL1 is printed. The page-16 note that the filter byte may be skipped is written for commands 01 and 06, not for 1A 00, and the page-17 diagram prints ⑨ and ⑩ as two separate cells."
set-record-name-with-space,17,1,17,1,00,⑪,manual_derived,17,"Page-17 legend headed ""⑪ Data mode and tone type settings"": left half of the two-part box, the arrow labelled DATA, and the DATA column of the adjacent table whose first row reads ""0=OFF"".","Run carries only the nibble printed first (leftmost) of frame byte 17; bytes_hex gives the whole containing byte. DATA = 0 = OFF chosen from the printed DATA column."
set-record-name-with-space,17,2,17,2,00,⑪,manual_derived,17,"Page-17 legend headed ""⑪ Data mode and tone type settings"": right half of the two-part box, the arrow labelled TONE, and the TONE column of the adjacent table whose first row reads ""0=OFF"".","Run carries only the nibble printed second (rightmost) of frame byte 17; bytes_hex gives the whole containing byte. TONE = 0 = OFF chosen from the printed TONE column."
set-record-name-with-space,18,-,18,-,00,⑫,manual_documented,23,"Page-23 section ""Repeater tone/tone squelch frequency settings / Command: 1B 00, 1B 01"": the first (leftmost) cell of the three-cell box, printed ""0"" and ""0"", both arrows reading ""Fixed digit: 0*"", above the footnote ""* Not necessary when setting a frequency.""","Both nibbles printed as Fixed digit: 0* and drawn as literal 0 and 0. STOP 2"
set-record-name-with-space,19,-,20,-,"08 85",⑬|⑭,manual_derived,23,"Page-23 section ""Repeater tone/tone squelch frequency settings"": cells ② and ③ of the three-cell box, arrows reading 100 Hz digit: 0~2, 10 Hz digit: 0~9, 1 Hz digit: 0~9, 0.1 Hz digit: 0~9.","88.5 Hz chosen and packed into the printed digit order: 100 Hz 0 / 10 Hz 8; 1 Hz 8 / 0.1 Hz 5. Every digit is inside its printed range. The document prints no list of permitted tone frequencies, only these digit ranges."
set-record-name-with-space,21,-,21,-,00,⑮,manual_documented,23,"Page-23 section ""Repeater tone/tone squelch frequency settings / Command: 1B 00, 1B 01"": the first (leftmost) cell of the three-cell box, printed ""0"" and ""0"", both arrows reading ""Fixed digit: 0*"", above the footnote ""* Not necessary when setting a frequency.""","Same three-cell format, reached from the page-17 pointer for ⑮ ~ ⑰; both nibbles printed Fixed digit: 0*. STOP 2"
set-record-name-with-space,22,-,23,-,"10 00",⑯|⑰,manual_derived,23,"Page-23 section ""Repeater tone/tone squelch frequency settings"": cells ② and ③ of the three-cell box, arrows reading 100 Hz digit: 0~2, 10 Hz digit: 0~9, 1 Hz digit: 0~9, 0.1 Hz digit: 0~9.","100.0 Hz chosen and packed into the printed digit order: 100 Hz 1 / 10 Hz 0; 1 Hz 0 / 0.1 Hz 0. Every digit is inside its printed range."
set-record-name-with-space,24,-,37,-,"00 00 10 14 00 01 01 00 00 08 85 00 10 00",❹|❺|❻|❼|❽|❾|❿|⓫|⓬|⓭|⓮|⓯|⓰|⓱,manual_derived,17,"Page-17 NOTE box at the foot of the right column, first bullet, printed ""The same data as ④ ~ ⑰ are stored in ❹ ~ ⓱.""; the region itself is the dashed box in the data-block diagram spanned by the filled-circle bracket ❹ ~ ⓱.","Byte-for-byte copy of frame bytes 10 to 23, as the printed NOTE directs. Printed indices are filled/reversed circled 4 to 17; measured position within the data block is bytes 18 to 31. STOP 1"
set-record-name-with-space,38,-,44,-,"54 45 53 54 49 4E 47",⑱|⑲|⑳|㉑|㉒|㉓|㉔,manual_derived,18,"Page-18 table headed ""- Character codes— Letters and Numbers"": first data row, Character cell ""A ~ Z"", ASCII code cell ""41 ~ 5A"".","Name TESTING NAME0123 chosen: 16 characters, so the 16-cell field is filled exactly and no padding or termination rule is needed. T E S T I N G derived from the printed range A ~ Z = 41 ~ 5A, so A=41 and T=41+19=54, E=45, S=53, I=49, N=4E, G=47."
set-record-name-with-space,45,-,45,-,20,㉕,inherited_assumed,,,"The space character in the middle of the chosen name. Justification in the assumption register of the .md; the document states no code for a space anywhere in its character tables for command 1A 00."
set-record-name-with-space,46,-,49,-,"4E 41 4D 45",㉖|㉗|㉘|㉙,manual_derived,18,"Page-18 table headed ""- Character codes— Letters and Numbers"": first data row, Character cell ""A ~ Z"", ASCII code cell ""41 ~ 5A"".","N A M E derived from the printed range A ~ Z = 41 ~ 5A: N=4E, A=41, M=4D, E=45."
set-record-name-with-space,50,-,53,-,"30 31 32 33",㉚|㉛|㉜|㉝,manual_derived,18,"Page-18 table headed ""- Character codes— Letters and Numbers"": second data row, Character cell ""0 ~ 9"", ASCII code cell ""30 ~ 39"".","0 1 2 3 derived from the printed range 0 ~ 9 = 30 ~ 39."
set-record-name-with-space,54,-,54,-,FD,-,structural,3,"Page-3 figure ""Controller (PC) to IC-7300MK2"": rightmost cell of the top frame, printed FD, under index ⑦ whose leader reads ""End of message code (Fixed)"".","End of message."
read-transceiver-id,1,-,2,-,"FE FE",-,structural,3,"Page-3 figure ""Controller (PC) to IC-7300MK2"": the two leftmost cells of the top frame, both printed FE, under index ① whose vertical leader reads ""Preamble code (Fixed)"".","Preamble, controller to transceiver."
read-transceiver-id,3,-,3,-,B6,-,structural,3,"Page-3 figure ""Controller (PC) to IC-7300MK2"": third cell of the top frame, printed B6, under index ② whose leader reads ""Transceiver’s default address"".","Transceiver default address."
read-transceiver-id,4,-,4,-,E0,-,structural,3,"Page-3 figure ""Controller (PC) to IC-7300MK2"": fourth cell of the top frame, printed E0, under index ③ whose leader reads ""Controller’s (PC’s) default address"".","Controller default address."
read-transceiver-id,5,-,5,-,19,-,manual_documented,6,"Page-6 Command table, right-hand half: the Cmd. cell printed ""19"", the row immediately above the ""1A*"" row.","Command number Cn."
read-transceiver-id,6,-,6,-,00,-,manual_documented,6,"Page-6 Command table, right-hand half: the Subcmd. cell printed ""00"" in the ""19"" row whose Description reads ""Reads the transceiver ID."" and whose Data cell is empty.","Subcommand number Sc. The Data column of this row is empty, so no data area is sent."
read-transceiver-id,7,-,7,-,FD,-,structural,3,"Page-3 figure ""Controller (PC) to IC-7300MK2"": rightmost cell of the top frame, printed FD, under index ⑦ whose leader reads ""End of message code (Fixed)"".","End of message."
manual-example-1,1,-,1,-,FE,-,manual_documented,16,"Page-16 section ""Turning the transceiver ON / Command: 18 01"", right column: the leftmost solid cell of the Example frame drawn below the line beginning ""Example: When the baud rate is 9600 bps"".","First of the wake-up FE characters, drawn as a solid cell."
manual-example-1,2,-,12,-,"FE FE FE FE FE FE FE FE FE FE FE",-,manual_derived,16,"Page-16 Example frame under ""Turning the transceiver ON"": the dashed ellipsis cell between the two solid FE cells, together with the bracket beneath them captioned 13 ""FE""s.","Eleven FE bytes standing behind the dashed ellipsis cell: the bracket caption prints 13 FEs and two of the thirteen are drawn as solid cells, so 13 minus 2 = 11."
manual-example-1,13,-,13,-,FE,-,manual_documented,16,"Page-16 Example frame under ""Turning the transceiver ON"": the solid FE cell immediately to the right of the dashed ellipsis cell, at which the bracket captioned 13 ""FE""s ends.","Thirteenth and last wake-up FE, drawn as a solid cell at the right-hand end of the bracket."
manual-example-1,14,-,15,-,"FE FE",-,structural,16,"Page-16 Example frame under ""Turning the transceiver ON"": the two solid FE cells that lie to the right of the 13 ""FE""s bracket and immediately to the left of the B6 cell.","The ordinary two-byte preamble, printed literally in the example and defined on page 3 as index ① Preamble code (Fixed)."
manual-example-1,16,-,16,-,B6,-,structural,16,"Page-16 Example frame under ""Turning the transceiver ON"": the cell printed B6, immediately right of the last FE cell.","Transceiver default address, printed literally in the example and defined on page 3."
manual-example-1,17,-,17,-,E0,-,structural,16,"Page-16 Example frame under ""Turning the transceiver ON"": the cell printed E0, immediately right of the B6 cell.","Controller default address, printed literally in the example and defined on page 3."
manual-example-1,18,-,19,-,"18 01",-,manual_documented,16,"Page-16 Example frame under ""Turning the transceiver ON"": the two cells printed 18 and 01, between the E0 cell and the FD cell.","Command and subcommand printed in the example; the page-6 command table prints 18 with subcommand 01, Turns the transceiver ON."
manual-example-1,20,-,20,-,FD,-,structural,16,"Page-16 Example frame under ""Turning the transceiver ON"": the rightmost cell of the frame, printed FD.","End of message, printed literally in the example and defined on page 3."
