# Source document: "FTDX101MP / FTDX101D CAT Operation Reference Manual"
#   (title printed on the cover, PDF page 1: "FTDX101MP" / "FTDX101D" stacked, with
#   "CAT Operation Reference Manual" beneath; publisher "YAESU MUSEN CO., LTD." at foot).
# Revision code as printed: 2308-L — printed at the lower right of the final page
#   (PDF page 26, printed back cover), beside the YAESU UK address block.
# Subject: "Table 2 (MENU Chart)", columns P1 | P2 | P3 | Function | P4 | Digits.
#   The chart occupies PDF pages 11, 12 and 13 (printed page numbers 10, 11 and 12).
# Transcription date: 05/08/2026
#
# Method:
#   - All pages rasterised with `pdftoppm -png`: a 100 dpi pass over all 26 pages to
#     locate the chart, then a 400 dpi pass (3308 x 4678 px per A4 page) over PDF
#     pages 11-13 for transcription, plus 300-400 dpi renders of pages 1 and 26 to
#     read the printed title and revision code.
#   - Pass 1 (structure): each 400 dpi chart page downsampled to 1400 px wide and read
#     whole, to establish the ruled group blocks and the column geometry.
#   - Pass 2 (codes, labels, names, digits): each chart page cut into six overlapping
#     690 px-tall horizontal bands; for each band the P1/P2/P3/Function block
#     (x 285-1575) and the Digits column (x 2850-3040) were cropped with ImageMagick
#     and appended side by side, so that every row's group membership and its Digits
#     value were read from the same printed ruled cells in one image.
#   - Pass 3 (P4 classification): the same bands re-cropped as P3 + P4 (x 1020-1320
#     appended to x 1540-2880) and read, to decide the `text` flag from the printed
#     P4 cell of each row.
#   - Pass 4 (re-verification): targeted 300 per cent enlargements of each group's
#     first and last rows, of every group label, and of readings where a typographic
#     detail was load-bearing — "LCUT SLOP" vs "HCUT SLOPE", "MY CALL." and its
#     Digits cell, "MAIN STEPS PER REV." / "MPVD STEPS PER REV." trailing full stops,
#     "3DSS DISP SENSITIVITY", and the "12" Digits value.
#   - Row membership and every value were read from the printed ruled cells in the
#     rendered rasters. No text extraction of any kind was used; `pdftotext` and every
#     other text-layer tool were not run.
#
# Verbatim policy: names and labels are recorded exactly as printed, including the
#   manual's own inconsistencies (e.g. "LCUT SLOP" without a final E throughout, while
#   "HCUT SLOPE" carries one; the trailing full stop in "MY CALL."). Names printed
#   across two ruled lines ("MOUSE POINTER SPEED") are joined with a single space.
#   Leading whitespace produced by centred cell text has not been preserved.
#
# Nothing beyond this one PDF's rendered pages was consulted: no other file in the
#   repository or elsewhere, no extracted-text or layout file, no source code, no other
#   manual, no web resource and no prior transcription.
p1,p2,p3,p1_label,p2_label,name,digits,text
03,01,01,OPERATION SETTING,GENERAL,DECODE RX SELECT,1,false
03,01,02,OPERATION SETTING,GENERAL,HEADPHONE MIX,1,false
03,01,03,OPERATION SETTING,GENERAL,ANT3 SELECT,1,false
03,01,04,OPERATION SETTING,GENERAL,NB WIDTH,1,false
03,01,05,OPERATION SETTING,GENERAL,NB REJECTION,1,false
03,01,06,OPERATION SETTING,GENERAL,BEEP LEVEL,3,false
03,01,07,OPERATION SETTING,GENERAL,RF/SQL VR,1,false
03,01,08,OPERATION SETTING,GENERAL,TUNER SELECT,1,false
03,01,09,OPERATION SETTING,GENERAL,232C RATE,1,false
03,01,10,OPERATION SETTING,GENERAL,232C TIME OUT TIMER,1,false
03,01,11,OPERATION SETTING,GENERAL,CAT RATE,1,false
03,01,12,OPERATION SETTING,GENERAL,CAT TIME OUT TIMER,1,false
03,01,13,OPERATION SETTING,GENERAL,CAT RTS,1,false
03,01,14,OPERATION SETTING,GENERAL,QMB CH,1,false
03,01,15,OPERATION SETTING,GENERAL,MEM GROUP,1,false
03,01,16,OPERATION SETTING,GENERAL,QUICK SPLIT INPUT,1,false
03,01,17,OPERATION SETTING,GENERAL,QUICK SPLIT FREQ,3,false
03,01,18,OPERATION SETTING,GENERAL,TX TIME OUT TIMER,2,false
03,01,19,OPERATION SETTING,GENERAL,MIC SCAN,1,false
03,01,20,OPERATION SETTING,GENERAL,MIC SCAN RESUME,1,false
03,01,21,OPERATION SETTING,GENERAL,REF FREQ ADJ,3,false
03,01,22,OPERATION SETTING,GENERAL,CS DIAL,2,false
03,01,23,OPERATION SETTING,GENERAL,KEYBOARD LANGUAGE,2,false
03,02,01,OPERATION SETTING,RX-DSP,APF WIDTH,1,false
03,02,02,OPERATION SETTING,RX-DSP,CONTOUR LEVEL,3,false
03,02,03,OPERATION SETTING,RX-DSP,CONTOUR WIDTH,2,false
03,02,04,OPERATION SETTING,RX-DSP,DNR LEVEL,2,false
03,02,05,OPERATION SETTING,RX-DSP,IF NOTCH WIDTH,1,false
03,03,01,OPERATION SETTING,TX AUDIO,PROC TYPE,1,false
03,03,02,OPERATION SETTING,TX AUDIO,AMC RELEASE TIME,1,false
03,03,03,OPERATION SETTING,TX AUDIO,PRMTRC EQ1 FREQ,2,false
03,03,04,OPERATION SETTING,TX AUDIO,PRMTRC EQ1 LEVEL,3,false
03,03,05,OPERATION SETTING,TX AUDIO,PRMTRC EQ1 BWTH,2,false
03,03,06,OPERATION SETTING,TX AUDIO,PRMTRC EQ2 FREQ,2,false
03,03,07,OPERATION SETTING,TX AUDIO,PRMTRC EQ2 LEVEL,3,false
03,03,08,OPERATION SETTING,TX AUDIO,PRMTRC EQ2 BWTH,2,false
03,03,09,OPERATION SETTING,TX AUDIO,PRMTRC EQ3 FREQ,2,false
03,03,10,OPERATION SETTING,TX AUDIO,PRMTRC EQ3 LEVEL,3,false
03,03,11,OPERATION SETTING,TX AUDIO,PRMTRC EQ3 BWTH,2,false
03,03,12,OPERATION SETTING,TX AUDIO,P PRMTRC EQ1 FREQ,2,false
03,03,13,OPERATION SETTING,TX AUDIO,P PRMTRC EQ1 LEVEL,3,false
03,03,14,OPERATION SETTING,TX AUDIO,P PRMTRC EQ1 BWTH,2,false
03,03,15,OPERATION SETTING,TX AUDIO,P PRMTRC EQ2 FREQ,2,false
03,03,16,OPERATION SETTING,TX AUDIO,P PRMTRC EQ2 LEVEL,3,false
03,03,17,OPERATION SETTING,TX AUDIO,P PRMTRC EQ2 BWTH,2,false
03,03,18,OPERATION SETTING,TX AUDIO,P PRMTRC EQ3 FREQ,2,false
03,03,19,OPERATION SETTING,TX AUDIO,P PRMTRC EQ3 LEVEL,3,false
03,03,20,OPERATION SETTING,TX AUDIO,P PRMTRC EQ3 BWTH,2,false
03,04,01,OPERATION SETTING,TX GNRL,HF MAX POWER,3,false
03,04,02,OPERATION SETTING,TX GNRL,50M MAX POWER,3,false
03,04,03,OPERATION SETTING,TX GNRL,70M MAX POWER,3,false
03,04,04,OPERATION SETTING,TX GNRL,AM MAX POWER,3,false
03,04,05,OPERATION SETTING,TX GNRL,VOX SELECT,1,false
03,04,06,OPERATION SETTING,TX GNRL,DATA VOX GAIN,3,false
03,04,07,OPERATION SETTING,TX GNRL,EMERGENCY FREQ TX,1,false
03,05,01,OPERATION SETTING,TUNING,SSB/CW DIAL STEP,1,false
03,05,02,OPERATION SETTING,TUNING,RTTY/PSK DIAL STEP,1,false
03,05,03,OPERATION SETTING,TUNING,CH STEP,1,false
03,05,04,OPERATION SETTING,TUNING,AM CH STEP,1,false
03,05,05,OPERATION SETTING,TUNING,FM CH STEP,1,false
03,05,06,OPERATION SETTING,TUNING,MAIN STEPS PER REV.,1,false
03,05,07,OPERATION SETTING,TUNING,MPVD STEPS PER REV.,1,false
04,01,01,DISPLAY SETTING,DISPLAY,MY CALL.,12,true
04,01,02,DISPLAY SETTING,DISPLAY,MY CALL TIME,1,false
04,01,03,DISPLAY SETTING,DISPLAY,SCREEN SAVER,1,false
04,01,04,DISPLAY SETTING,DISPLAY,TFT CONTRAST,2,false
04,01,05,DISPLAY SETTING,DISPLAY,DIMMER TFT,2,false
04,01,06,DISPLAY SETTING,DISPLAY,DIMMER LED,2,false
04,01,07,DISPLAY SETTING,DISPLAY,MOUSE POINTER SPEED,2,false
04,01,08,DISPLAY SETTING,DISPLAY,FREQ STYLE,1,false
04,02,01,DISPLAY SETTING,SCOPE,RBW,1,false
04,02,02,DISPLAY SETTING,SCOPE,SCOPE CTR,1,false
04,02,03,DISPLAY SETTING,SCOPE,2D DISP SENSITIVITY,1,false
04,02,04,DISPLAY SETTING,SCOPE,3DSS DISP SENSITIVITY,1,false
04,03,01,DISPLAY SETTING,EXT-MONITOR,EXT DISPLAY,1,false
04,03,02,DISPLAY SETTING,EXT-MONITOR,PIXEL,1,false
