# FT-710 EX read-characterisation observations (M8c, 24/07/2026).
#
# HARDWARE EVIDENCE — NOT a manual transcription, and READ DIRECTION ONLY.
# The manual's own Table 2 transcription lives in table2.csv and is never
# edited from hardware. This file records what one radio ANSWERED to EX
# READ requests; it says nothing about EX Set behaviour, which was not
# probed and is M8e/M8f's question.
#
# Source: two successive full passive EX sweeps ("rigprog read --settings")
#   of one UK FT-710, CAT ID 0800, firmware V01-12, in one configuration,
#   24 July 2026, controller-driven, read-only. Both sweeps returned all
#   296 addresses "known" and were byte-identical to each other. Session
#   record: docs/hardware-notes.md.
#
# PRIVACY: this file carries NO setting values — only each address's
#   observed P4 wire width and shape class. Raw captures stay in
#   docs/fixtures-private/ (never committed).
#
# Regenerate with:
#   go run ./internal/extable/observe -capture <private capture.json> \
#     -csv core/cat/table2.csv -out core/cat/table2-observed.csv
#
# Columns: p1,p2,p3,observed_read_width,observed_read_shape
#   observed_read_width  bytes of raw P4 answered to a READ (a sign counts)
#   observed_read_shape  numeric | signed (leading '+'/'-') | text (12-byte free text)
02,01,03,3,signed
02,01,04,4,numeric
02,01,05,4,numeric
02,01,06,4,numeric
02,01,07,2,numeric
02,01,08,1,numeric
02,01,09,2,numeric
02,01,10,1,numeric
02,01,11,3,numeric
02,01,12,3,numeric
02,01,13,1,numeric
02,01,14,2,numeric
02,01,15,1,numeric
02,01,16,1,numeric
02,01,17,1,numeric
02,01,18,1,numeric
02,01,19,1,numeric
02,01,20,1,numeric
02,02,01,1,numeric
02,02,02,1,numeric
02,02,03,2,numeric
02,02,04,1,numeric
02,02,05,4,numeric
02,02,06,1,numeric
02,02,07,1,numeric
02,02,08,1,numeric
02,02,09,1,numeric
02,02,10,1,numeric
02,02,11,2,numeric
03,01,01,3,numeric
03,01,02,1,numeric
03,01,03,1,numeric
03,01,04,1,numeric
03,01,05,1,numeric
03,01,06,1,numeric
03,01,07,1,numeric
03,01,08,1,numeric
03,01,09,1,numeric
03,01,10,1,numeric
03,01,11,1,numeric
03,01,12,1,numeric
03,01,13,1,numeric
03,01,14,1,numeric
03,01,15,2,numeric
03,01,16,1,numeric
03,01,17,1,numeric
03,01,18,3,signed
03,01,19,2,numeric
03,01,20,2,numeric
03,01,21,2,numeric
03,01,22,2,numeric
03,01,23,2,numeric
03,01,24,2,numeric
03,01,25,2,numeric
03,01,26,1,numeric
03,02,01,1,numeric
03,02,02,1,numeric
03,02,03,1,numeric
03,02,04,1,numeric
03,02,05,3,signed
03,02,06,2,numeric
03,03,01,1,numeric
03,03,02,2,numeric
03,03,03,3,signed
03,03,04,2,numeric
03,03,05,2,numeric
03,03,06,3,signed
03,03,07,2,numeric
03,03,08,2,numeric
03,03,09,3,signed
03,03,10,2,numeric
03,03,11,2,numeric
03,03,12,3,signed
03,03,13,2,numeric
03,03,14,2,numeric
03,03,15,3,signed
03,03,16,2,numeric
03,03,17,2,numeric
03,03,18,3,signed
03,03,19,2,numeric
03,04,01,3,numeric
03,04,02,3,numeric
03,04,03,3,numeric
03,04,04,3,numeric
03,04,05,1,numeric
03,04,06,1,numeric
03,04,07,1,numeric
03,04,08,1,numeric
03,05,01,1,numeric
03,05,02,1,numeric
03,05,03,1,numeric
03,05,04,1,numeric
03,05,05,1,numeric
03,05,06,1,numeric
04,01,01,12,text
04,01,02,1,numeric
04,01,03,1,numeric
04,01,04,1,numeric
04,01,05,2,numeric
04,01,06,2,numeric
04,02,01,1,numeric
04,02,02,1,numeric
04,02,03,1,numeric
04,02,04,1,numeric
04,03,01,1,numeric
04,03,02,1,numeric
04,03,03,1,numeric
04,03,04,1,numeric
04,04,01,1,numeric
04,04,02,1,numeric
06,01,01,12,text
06,01,02,1,numeric
06,01,03,1,numeric
06,01,04,1,numeric
06,01,05,4,numeric
06,01,06,4,numeric
06,01,07,4,numeric
06,01,08,2,numeric
06,01,09,1,numeric
06,01,10,2,numeric
06,01,11,1,numeric
06,01,12,3,numeric
06,01,13,3,numeric
06,01,14,1,numeric
06,01,15,1,numeric
06,01,16,3,numeric
06,01,17,3,numeric
06,01,18,1,numeric
06,02,01,12,text
06,02,02,1,numeric
06,02,03,1,numeric
06,02,04,1,numeric
06,02,05,4,numeric
06,02,06,4,numeric
06,02,07,4,numeric
06,02,08,2,numeric
06,02,09,1,numeric
06,02,10,2,numeric
06,02,11,1,numeric
06,02,12,3,numeric
06,02,13,3,numeric
06,02,14,1,numeric
06,02,15,1,numeric
06,02,16,3,numeric
06,02,17,3,numeric
06,02,18,1,numeric
06,03,01,12,text
06,03,02,1,numeric
06,03,03,1,numeric
06,03,04,1,numeric
06,03,05,4,numeric
06,03,06,4,numeric
06,03,07,4,numeric
06,03,08,2,numeric
06,03,09,1,numeric
06,03,10,2,numeric
06,03,11,1,numeric
06,03,12,3,numeric
06,03,13,3,numeric
06,03,14,1,numeric
06,03,15,1,numeric
06,03,16,3,numeric
06,03,17,3,numeric
06,03,18,1,numeric
06,04,01,12,text
06,04,02,1,numeric
06,04,03,1,numeric
06,04,04,1,numeric
06,04,05,4,numeric
06,04,06,4,numeric
06,04,07,4,numeric
06,04,08,2,numeric
06,04,09,1,numeric
06,04,10,2,numeric
06,04,11,1,numeric
06,04,12,3,numeric
06,04,13,3,numeric
06,04,14,1,numeric
06,04,15,1,numeric
06,04,16,3,numeric
06,04,17,3,numeric
06,04,18,1,numeric
06,05,01,12,text
06,05,02,1,numeric
06,05,03,1,numeric
06,05,04,1,numeric
06,05,05,4,numeric
06,05,06,4,numeric
06,05,07,4,numeric
06,05,08,2,numeric
06,05,09,1,numeric
06,05,10,2,numeric
06,05,11,1,numeric
06,05,12,3,numeric
06,05,13,3,numeric
06,05,14,1,numeric
06,05,15,1,numeric
06,05,16,3,numeric
06,05,17,3,numeric
06,05,18,1,numeric
