p1,p2,p3,name,digits,text
0,07,04,Overwrite Location (DX Packet Cluster Tuned Data),3,0
0,07,05,USB: Audio Input Level,3,0
0,07,06,ACC 2: Audio Input Level,3,0
0,07,07,Optical: Audio Input Level,3,0
0,07,08,USB: Audio Output Level (Main Band),3,0
0,07,09,USB: Audio Output Level (Sub Band),3,0
0,07,10,ACC 2: Audio Output Level (Main Band),3,0
0,07,11,ACC 2: Audio Output Level (Sub Band),3,0
0,07,12,Optical: Audio Output Level (Main Band),3,0
0,07,13,Optical: Audio Output Level (Sub Band),3,0
0,07,14,Audio Output Type (Rear Connectors),3,0
0,07,15,Speaker Output Configuration,3,0
0,07,16,USB: Audio Output Configuration,3,0
0,07,17,ACC2: Audio Output Configuration,3,0
0,07,18,Optical: Audio Output Configuration,3,0
0,07,19,Antenna Numbers <Firmware version 1.20 or later>,3,0
0,08,00,Bandscope Display During TX,3,0
0,08,01,TX Audio Signal Waveform Display,3,0
0,08,02,Bandscope Maximum Hold,3,0
0,08,03,Marker Offset Frequency (SSB Mode),3,0
0,08,04,Frequency Scale (Center Mode),3,0
0,08,05,Fixed Mode LF Band Lower Limit (min. 0.03 MHz),8,1
0,08,06,Fixed Mode LF Band Upper Limit (max. 0.300 MHz),8,1
0,08,07,Fixed Mode MF Band 1 Lower Limit (min. 0.300 MHz),8,1
0,08,08,Fixed Mode MF Band 1 Upper Limit (max. 0.522 MHz),8,1
0,08,09,Fixed Mode MF Band 2 Lower Limit (min. 0.522 MHz),8,1
0,08,10,Fixed Mode MF Band 2 Upper Limit (max. 1.705 MHz),8,1
0,08,11,Fixed Mode 1.8 MHz Band Lower Limit (min. 1.705 MHz),8,1
0,08,12,Fixed Mode 1.8 MHz Band Upper Limit (max. 2.0 MHz),8,1
0,08,13,Fixed Mode 3.5 MHz Band Lower Limit (min. 2.0 MHz),8,1
0,08,14,Fixed Mode 3.5 MHz Band Upper Limit (max. 4.0 MHz),8,1
0,08,15,Fixed Mode 5 MHz Band Lower Limit (min. 4.0 MHz),8,1
0,08,16,Fixed Mode 5 MHz Band Upper Limit (max. 6.0 MHz),8,1
0,08,17,Fixed Mode 7 MHz Band Lower Limit (min. 6.0 MHz),8,1
0,08,18,Fixed Mode 7 MHz Band Upper Limit (max. 8.0 MHz),8,1
0,08,19,Fixed Mode 10 MHz Band Lower Limit (min. 8.0 MHz),8,1
0,08,20,Fixed Mode 10 MHz Band Upper Limit (max. 11 MHz),8,1
0,08,21,Fixed Mode 14 MHz Band Lower Limit (min. 11 MHz),8,1
0,08,22,Fixed Mode 14 MHz Band Upper Limit (max. 15 MHz),8,1
0,08,23,Fixed Mode 18 MHz Band Lower Limit (min. 15 MHz),8,1
0,08,24,Fixed Mode 18 MHz Band Upper Limit (max. 20 MHz),8,1
0,08,25,Fixed Mode 21 MHz Band Lower Limit (min. 20 MHz),8,1
0,08,26,Fixed Mode 21 MHz Band Upper Limit (max. 22 MHz),8,1
0,08,27,Fixed Mode 24 MHz Band Lower Limit (min. 22 MHz),8,1
0,08,28,Fixed Mode 24 MHz Band Upper Limit (max. 26 MHz),8,1
0,08,29,Fixed Mode 28 MHz Band Lower Limit (min. 26 MHz),8,1
0,08,30,Fixed Mode 28 MHz Band Upper Limit (max. 30 MHz),8,1
0,08,31,Fixed Mode 50 MHz Band Lower Limit (min. 30 MHz),8,1
0,08,32,Fixed Mode 50 MHz Band Upper Limit (max. 60 MHz),8,1
0,08,33,Waterfall Pause when Tuning (Center Mode) <Firmware version 1.20 or later>,3,0
0,08,34,Touchscreen Tuning Step Correction (SSB/ CW/ FSK/ PSK) <Firmware version 1.20 or later>,3,0
0,08,35,Waterfall Color Type <Firmware version 1.20 or later>,3,0
0,09,00,Send Message by Function Keys (USB Keyboard),3,0
0,09,01,Keyboard Language (USB Keyboard),3,0
0,09,02,Repeat Delay Time (USB Keyboard),3,0
0,09,03,Repeat Speed (USB Keyboard),3,0
1,00,00,Indication Signal Type (Main Band),3,0
1,00,01,Indication Signal Type (Sub Band),3,0
1,00,02,Output Level (Main Band),3,0
1,00,03,Output Level (Sub Band),3,0
1,00,04,REF I/O Connector Configuration,3,0
1,00,05,Reference Oscillator Calibration,3,0
1,00,06,Bandwidth (Additional Roofing Filter),3,0
1,00,07,Attenuation (Additional Roofing Filter),3,0
1,00,08,TX Power Down with Transverter Enabled,3,0
1,00,09,TX Hold After Antenna Tuning,3,0
1,00,10,Antenna Tuner During RX,3,0
1,00,11,Linear Amplifier Control (HF Band),3,0
1,00,12,Linear Amplifier Control (50 MHz Band),3,0
1,00,13,Microphone Gain (FM Mode),3,0
1,00,14,PKS Polarity Reverse,3,0
1,00,15,TX Inhibit While Busy,3,0
1,00,16,CTCSS Unmute for Internal Speaker (Main Band),3,0
1,00,17,CTCSS Unmute for Internal Speaker (Sub Band),3,0
1,00,18,MSQ Logic State,3,0
1,00,19,SSQ Logic State,3,0
1,00,20,MSQ Reverse Condition,3,0
1,00,21,SSQ Reverse Condition,3,0
1,00,22,Standby State Low Power Consumption,3,0
1,00,23,Cooling Fan Control After Shutdown,3,0
1,00,24,MSQ/PKS Pin Assignment,3,0
1,00,25,External Display,3,0
1,00,26,Resolution (External Display),3,0
